epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.292,1.9727,2.55118,1.27513,0.39004,0.65953,0.45461,0.23351,1.61253,1.53449,1.20921,0.00333039,0.00333039,0.00333039
2,398.892,1.80121,1.5853,1.22705,0.67018,0.74291,0.74535,0.42251,1.46004,1.20228,1.16027,0.00663074,0.00663074,0.00663074
3,576.543,1.76105,1.3947,1.20296,0.77319,0.78189,0.85119,0.50603,1.46419,1.0805,1.16954,0.00989809,0.00989809,0.00989809
4,757.507,1.69324,1.28007,1.18016,0.81463,0.81017,0.88013,0.56031,1.31663,0.9437,1.10288,0.0098515,0.0098515,0.0098515
5,932.887,1.6196,1.1436,1.14897,0.86118,0.84763,0.91836,0.5937,1.30341,0.84865,1.10618,0.009802,0.009802,0.009802
6,1142.94,1.57104,1.06547,1.13351,0.88101,0.86642,0.93157,0.63078,1.20749,0.76046,1.07473,0.0097525,0.0097525,0.0097525
7,1337.81,1.53708,1.01043,1.11718,0.89656,0.87872,0.94837,0.64193,1.21052,0.74292,1.06917,0.009703,0.009703,0.009703
8,1531.77,1.51015,0.9676,1.10994,0.91069,0.89717,0.95571,0.65944,1.17189,0.69656,1.05874,0.0096535,0.0096535,0.0096535
9,1716.57,1.4839,0.93484,1.09912,0.92113,0.89732,0.96071,0.66671,1.16204,0.66155,1.04922,0.009604,0.009604,0.009604
10,1893.42,1.46987,0.91027,1.09349,0.92793,0.9044,0.96524,0.6772,1.14054,0.63194,1.04085,0.0095545,0.0095545,0.0095545
11,2067.21,1.45213,0.88629,1.08605,0.92416,0.90476,0.96488,0.66269,1.19415,0.64643,1.04774,0.009505,0.009505,0.009505
12,2240.97,1.43471,0.86719,1.0765,0.93912,0.92106,0.97332,0.69063,1.11175,0.59772,1.02347,0.0094555,0.0094555,0.0094555
13,2414.53,1.4263,0.85591,1.07727,0.94155,0.92214,0.9738,0.70049,1.07501,0.58399,1.00946,0.009406,0.009406,0.009406
14,2589.51,1.41091,0.83832,1.06918,0.94544,0.92567,0.97534,0.70434,1.07506,0.57275,1.01484,0.0093565,0.0093565,0.0093565
15,2763.22,1.40355,0.82694,1.06934,0.94925,0.93429,0.97893,0.69493,1.10946,0.56458,1.02179,0.009307,0.009307,0.009307
16,2947.34,1.39314,0.8177,1.06296,0.94378,0.93386,0.97653,0.70288,1.07627,0.56013,1.00988,0.0092575,0.0092575,0.0092575
17,3133.68,1.38449,0.80609,1.05847,0.95018,0.93659,0.97983,0.70867,1.07382,0.54585,1.00577,0.009208,0.009208,0.009208
18,3319.99,1.37865,0.80094,1.05717,0.95518,0.93881,0.98023,0.71268,1.04818,0.53441,0.99749,0.0091585,0.0091585,0.0091585
19,3509.3,1.37025,0.79011,1.05452,0.95344,0.94236,0.98144,0.71374,1.05509,0.53017,0.99654,0.009109,0.009109,0.009109
